k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
8	3	generic_stress	generic_stress	14	100	3	3	HMOX1,HSPA5,PPP1R15A	HMOX1,HSPA5,PPP1R15A	0.009672696775446087	2.014452426494684
8	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
8	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
8	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
8	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
8	4	senescence_core	senescence	15	100	0	0			1.0	-0.0
8	4	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
8	4	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
8	4	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
8	4	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
