fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
5	6	PLIN2	True	46.246216	3.612955	0.0
5	7	MTRNR2L8	True	45.274044	2.6799698	0.0
5	8	MT-ND1	True	42.502026	1.7837563	0.0
5	9	DEPP1	True	42.002464	2.8635046	0.0
5	10	MT-ND4	True	41.17002	1.6580569	1.429804103318115e-305
5	11	MT-CO1	True	38.52753	1.692427	2.7326101592103724e-273
5	12	MT-CO3	True	37.880424	1.6424412	1.345575032653049e-265
5	13	MT-CYB	True	37.17713	1.6597712	3.974695482107357e-256
5	14	IFITM3	True	37.14177	1.3658962	5.253304713535681e-263
5	15	MT-ND3	True	36.846737	1.6640416	3.857907411934143e-253
5	16	MT-ND2	True	36.358967	1.4727129	2.7553996093000617e-249
5	17	NUPR1	True	36.2521	1.3382906	9.931551118740454e-253
5	18	RARRES1	True	36.084927	3.881966	1.4304439373602571e-235
5	19	ADM	True	36.046112	2.0542316	2.7329404360400853e-248
5	20	MTRNR2L12	True	35.881844	1.7752074	8.347576723180164e-248
5	21	MT-ATP6	True	35.1238	1.5693618	3.9324513408612744e-232
5	22	IGFBP4	True	35.036922	2.2557914	1.1204312464915259e-237
5	23	FGF7	True	34.453957	2.9412856	1.1259477715672407e-222
5	24	GLRX	True	34.217087	2.000951	6.137452852266127e-228
5	25	C11orf96	True	33.852108	2.5729685	4.0295651616982286e-220
5	26	ZFP36L2	True	33.211723	1.8019806	1.3955382497027001e-215
5	27	CEBPD	True	31.031908	1.3460568	1.855736399373356e-190
5	28	RPS4Y1	True	30.962265	1.7220429	5.802005131015652e-190
5	29	GYPC	True	30.150097	1.6351997	4.4847148854764064e-179
5	30	PTMA	True	29.990822	0.8068624	4.291754422974418e-179
6	1	SNHG5	True	80.1775	3.4031844	0.0
6	2	RPL17	True	75.44007	3.238795	0.0
6	3	GAS5	True	74.66616	3.2459705	0.0
6	4	LINC01578	True	73.466675	3.2314143	0.0
6	5	RNASE4	True	71.99784	3.2425191	0.0
6	6	GABARAP	True	69.868286	2.8634064	0.0
6	7	CCN5	True	68.75934	4.8189797	0.0
6	8	EEF1G	True	65.19843	2.877638	0.0
6	9	SNHG6	True	63.920177	2.9180496	0.0
6	10	SNHG29	True	61.930283	2.818894	0.0
6	11	RPS17	True	60.76136	2.4648516	0.0
6	12	CCN1	True	56.853756	3.2193198	0.0
6	13	MT-ND2	True	55.110294	1.9242074	0.0
6	14	RPL36A	True	54.60692	1.8986778	0.0
6	15	EIF4A1	True	54.18457	1.8832482	0.0
6	16	NME2	True	54.032005	2.4975789	0.0
6	17	SEPTIN11	True	53.720802	3.4916224	0.0
6	18	ZFAND5	True	53.500416	2.0040605	0.0
6	19	SEPTIN7	True	51.49182	2.4563773	0.0
6	20	RNASEK	True	50.84581	2.2799482	0.0
6	21	DANCR	True	49.116196	2.8541863	0.0
6	22	GSN	True	48.35609	1.9677107	0.0
6	23	PLPP3	True	48.072388	2.3714528	0.0
6	24	ARID5B	True	47.729546	1.9331405	0.0
6	25	RBIS	True	46.441803	2.5754042	0.0
6	26	MAN1A1	True	46.15829	2.0237186	0.0
6	27	MAGI2-AS3	True	45.971325	2.452695	0.0
6	28	ZFP36L2	True	45.83674	2.079703	0.0
6	29	CEBPD	True	45.756317	1.6343639	0.0
6	30	ATP6V0C	True	45.06974	2.3288627	0.0
7	1	CCN5	True	119.17279	6.1290536	0.0
7	2	COL14A1	True	113.9984	4.4628205	0.0
7	3	NME2	True	88.83611	3.1542757	0.0
7	4	RPL17	True	88.2206	3.1500309	0.0
7	5	SEPTIN7	True	84.689224	3.114193	0.0
7	6	EEF1G	True	83.6308	3.0507143	0.0
7	7	SNHG5	True	77.04538	3.0148563	0.0
7	8	CCN1	True	76.49884	3.7193499	0.0
7	9	GABARAP	True	74.915504	2.6689339	0.0
7	10	CCN2	True	74.00169	3.7222044	0.0
7	11	SNHG29	True	73.927605	2.8690898	0.0
7	12	SERPINF1	True	71.66607	3.165084	0.0
7	13	RPS17	True	70.97027	2.4521174	0.0
7	14	MICOS10	True	68.03513	2.8836439	0.0
7	15	C1R	True	67.363625	2.233519	0.0
7	16	IGFBP4	True	66.97297	3.1489422	0.0
7	17	CXCL12	True	66.73422	3.7567806	0.0
7	18	TMSB4X	True	66.67522	2.161278	0.0
7	19	CRIP1	True	66.4606	2.7554789	0.0
7	20	AHR	True	65.61245	3.855417	0.0
7	21	RNASEK	True	64.842224	2.4432225	0.0
7	22	SEPTIN2	True	64.786964	3.1320872	0.0
7	23	VCAN	True	64.32214	2.494865	0.0
7	24	MMP2	True	63.84336	2.8486683	0.0
7	25	GAS5	True	63.828762	2.615056	0.0
7	26	THY1	True	63.674023	3.1587186	0.0
