sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
GSM5740183	Aging-4	Meniscus_aged	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	aged				GSE191157	meniscus	aged	aged	-0.0690559179231865	-0.5377603305861715	0.5963128417693074	0.5715695387954103	0.3024728187011151	0.3501436822534557	-0.606816248509358	False	False	False	True
GSM5740184	Aging-5	Meniscus_aged	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	aged				GSE191157	meniscus	aged	aged	0.7919197698698169	-0.6514069615830482	0.0448976503284389	0.0796200164793038	-0.4503605792251307	0.020264740169997	0.1405128082867687	False	False	False	True
GSM5740185	Young-1	Meniscus_young	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	young				GSE191157	meniscus	young	young	-0.2545689846825097	-0.0453966836653591	-0.8050839587215955	-1.002068287182751	0.5249076742555306	-0.8066028553717309	-0.2999656683478688	False	False	False	True
GSM5740186	Young-3	Meniscus_young	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	young				GSE191157	meniscus	young	young	0.0783068132622389	1.0344265770668757	0.0570283843341123	0.1524086445779211	-0.1891411321973553	0.184743671186858	1.1127333903291146	False	False	False	True
GSM5740187	Young-4	Meniscus_young	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	young				GSE191157	meniscus	young	young	-0.1898938684485022	0.7999371422724877	-0.0549014308467538	-0.0129786976454069	0.0011450792820762	0.080356093906395	0.6100432738239855	False	False	False	True
GSM5740188	Young-5	Meniscus_young	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	young				GSE191157	meniscus	young	young	-0.8369761504814525	0.1173921262265424	-0.0790916789930173	-0.2089398867325942	0.4126901279146698	-0.1105407181875302	-0.7195840242549101	False	False	False	True
GSM1332201	Synovial tisssue from healthy joint 1  (ND_1)	synovial tissue from healthy joint	Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation	GPL96				healthy control	GSE55235	synovium	normal	normal	-0.2918558092025204	-0.542348548392253	-0.018836170454826	0.2286131310977946	-0.0287394901507367	-0.0078036014980604	-0.8342043575947734	True	False	False	False
GSM1332202	Synovial tisssue from healthy joint 2  (ND_2)	synovial tissue from healthy joint	Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation	GPL96				healthy control	GSE55235	synovium	normal	normal	-0.5491381242381898	-0.8729545452528247	0.3965003057756038	0.4325392246128118	0.8218838458523171	0.3847031041125809	-1.4220926694910143	True	False	False	False
GSM1332203	Synovial tisssue from healthy joint 3  (ND_3)	synovial tissue from healthy joint	Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation	GPL96				healthy control	GSE55235	synovium	normal	normal	-0.2119486888452814	-0.8778894886653115	0.1960839680841625	-0.1760329675106222	0.7584389662794492	-0.0057497494623257	-1.0898381775105928	True	False	False	False
GSM1332204	Synovial tisssue from healthy joint 4  (ND_4)	synovial tissue from healthy joint	Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation	GPL96				healthy control	GSE55235	synovium	normal	normal	-0.65729388164325	-0.704557164339212	0.6260510813400553	0.6120462371363793	0.9759644429616856	0.5535038159829934	-1.361851045982462	True	False	False	False
