k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
22	14	0.0410356355809144	0.0	0.23346983400705562	MenOA1	0.14517076995091696	OA	0.6837934987640948	14
22	15	0.023618288811021154	0.0	0.12290052547166584	MenOA1	0.2146928116834126	OA	0.7635909619574347	14
22	16	0.01990491825542714	0.0	0.10340245280277334	MenNorm5	0.27186567802717615	normal	0.630334510564246	14
22	17	0.00869606974581282	0.0	0.0401343281531779	MenNorm6	0.2194943525752575	normal	0.6463984780971785	14
22	18	0.00510965758103462	0.0	0.022940769650348258	MenNorm3	0.0975698735633811	normal	0.5769072614725906	14
22	19	0.003774253142798217	0.0	0.015352474837634076	MenNorm4	0.16539406150977642	normal	0.6190767818312165	14
22	20	0.0025046292320683623	0.0	0.009497316231331751	MenOA4	0.2431365181079214	OA	0.6737004550364064	14
22	21	0.0021103844020602448	0.0	0.007695950754185436	MenOA4	0.2342733990338848	OA	0.5897369290258523	14
22	22	0.0015329316146666426	0.0	0.0060828309015731235	MenOA1	0.15583010937689207	OA	0.5134935344211139	14
24	1	0.1268506699342837	0.0936405895245574	0.3994376294350283	MenOA4	0.11012386841077541	OA	0.5591341360139914	14
24	2	0.14024332536489978	0.08301971718358164	0.5060435867096608	MenNorm3	0.2321080338041858	normal	0.6693598940766244	14
24	3	0.10719451744026055	0.023328103653041044	0.5311993940227833	MenNorm4	0.24263201331968368	normal	0.8414028295227077	14
24	4	0.07211914812501403	0.010709828241562094	0.3587484507133607	MenNorm1VAS	0.31693909203092013	normal	0.8986949051693649	14
24	5	0.07107203356347798	0.011959853277517944	0.3214693883393114	MenOA1	0.20564123572246162	OA	0.7436623632869455	14
24	6	0.05171151310181494	0.0	0.24061507611429248	MenNorm7	0.2748993086654838	normal	0.5545908040419554	14
24	7	0.05350830972239773	0.024411819971282937	0.20571451346560657	MenNorm5	0.1317198696450123	normal	0.6258492734265313	14
24	8	0.042978438196124916	0.0	0.24901588445459572	MenNorm5	0.36285382149204265	normal	0.8317213322525465	14
24	9	0.0438485698836483	0.0	0.3434331811290624	MenNorm6	0.254998460897495	normal	0.5615347447011305	14
24	10	0.03903437378318685	0.0	0.23545413579701666	MenNorm6	0.3189614605780026	normal	0.5658639221735238	14
24	11	0.03984048209633437	0.0	0.25628306224297737	MenNorm7	0.23581125087668764	normal	0.867776118387212	14
24	12	0.040790029549914925	0.0	0.21290280952310162	MenNorm3	0.12131555746573987	normal	0.5341002699781549	14
24	13	0.041039555665418614	0.0	0.21337183215049543	MenOA5	0.23466909975531472	OA	0.8357151780629328	14
24	14	0.0400217190805524	0.0	0.22747929746882162	MenOA1	0.14572091783368799	OA	0.6786392784415421	14
24	15	0.02519819132067532	0.0	0.15066772177748602	MenOA4	0.15592044839798475	OA	0.6612776673653723	14
24	16	0.021678240753984352	0.0	0.11075171230502566	MenOA1	0.2134705841555157	OA	0.7361722983241121	14
24	17	0.019583045690906048	0.0	0.10142618634518603	MenNorm5	0.2723786922654602	normal	0.6297444681148917	14
24	18	0.00804379251742576	0.0	0.03713006053169914	MenNorm6	0.21941409697983014	normal	0.6310673902533985	14
24	19	0.005005501459794657	0.0	0.022923258879308933	MenNorm3	0.09649212404240344	normal	0.5609591686709504	14
24	20	0.0038157617654384886	0.0	0.015575676035158413	MenNorm4	0.16447260034310235	normal	0.6287361614583302	14
24	21	0.0024589724491935997	0.0	0.009289356562642563	MenOA4	0.2422443664403758	OA	0.6727201381639859	14
24	22	0.002110809222187278	0.0	0.007691513580773286	MenOA4	0.23498574764634653	OA	0.5923777720263952	14
24	23	0.001467341843854715	0.0	0.005903518861732672	MenOA1	0.16047141274549143	OA	0.5164091434592948	14
24	24	0.0003856574692106968	0.0	0.0008685915986528406	MenNorm4	0.1848132504472483	normal	0.5598165182612277	14
26	1	0.11427165662236208	0.08132918072473333	0.3687832706691407	MenOA4	0.11148403033490795	OA	0.5515936461928822	14
26	2	0.10064062583686845	0.021230119021526127	0.5021409024594329	MenNorm1AVAS	0.24626087865988702	normal	0.8242754774969047	14
26	3	0.09374882687372742	0.024505279283247278	0.398050241047469	MenNorm3	0.22390524394028452	normal	0.6656872783547304	14
26	4	0.08405321220970592	0.050527990904967915	0.28766578443499047	MenNorm2	0.18884000233132342	normal	0.6421996850814062	14
26	5	0.0674245841518994	0.009210107187547154	0.33874326435662133	MenNorm1VAS	0.3268952674824012	normal	0.8848269557659068	14
26	6	0.059894423382770894	0.0010249930551748327	0.2967656109486355	MenOA1	0.23940541274705304	OA	0.7676840614406638	14
26	7	0.05172510579018198	0.022784539042055206	0.19940904732508932	MenNorm5	0.13232892853716055	normal	0.6304496066821403	14
26	8	0.04027390203237389	0.0	0.24395662791777287	MenNorm5	0.38023311815941047	normal	0.8563653536332179	14
26	9	0.042031531718547885	0.0	0.19943570837591704	MenNorm7	0.4177624723714436	normal	0.8108046462907414	14
26	10	0.03710203136561779	0.0	0.22741764986058682	MenNorm6	0.32734921734102584	normal	0.5908235032882648	14
26	11	0.03957185576545129	0.0	0.3210542413599753	MenNorm6	0.2607100606914884	normal	0.5529650994264435	14
26	12	0.04487390739020849	0.0	0.251265499059155	MenOA5	0.4049983494862196	OA	0.7953663635930037	14
26	13	0.035584745802465755	0.0	0.2341108745699774	MenNorm7	0.24057174756057143	normal	0.8725127645168765	14
26	14	0.03697685774168424	0.0	0.1940926795106712	MenNorm3	0.1239677672395271	normal	0.5291966120756155	14
26	15	0.0314871959728084	0.0	0.16764752304204117	MenOA1	0.26329234738909163	OA	0.8145136651182084	14
26	16	0.03535920197700175	0.0	0.2038600578685755	MenOA1	0.14700192818697738	OA	0.6658728485527964	14
26	17	0.02455357671193707	0.0	0.14718255716928438	MenOA4	0.15502051797896915	OA	0.6537505796705276	14
26	18	0.021223231274350367	0.0	0.10824730378811984	MenOA1	0.19118818388704584	OA	0.7397073837945333	14
26	19	0.01688744632759792	0.0	0.09152131928056717	MenNorm5	0.2736584284320138	normal	0.6051037892099235	14
26	20	0.007768024548525914	0.0	0.03593771269001942	MenNorm6	0.21816294875281214	normal	0.6270439814211941	14
26	21	0.004870721184557068	0.0	0.022032394800582788	MenNorm3	0.09953508867282893	normal	0.558141222263753	14
26	22	0.003475405897964256	0.0	0.014719395033327119	MenNorm4	0.1549323720055461	normal	0.6146560193657042	14
26	23	0.0023976300872351076	0.0	0.00908990767097845	MenOA4	0.2417124640209655	OA	0.669058362850229	14
26	24	0.0020148736214732456	0.0	0.007396134003887127	MenOA4	0.23627154503061618	OA	0.5908825832440872	14
26	25	0.0014115858562696146	0.0	0.005692776718304841	MenOA1	0.14854011982519197	OA	0.5176817865791775	14
26	26	0.0003778398564138297	0.0	0.0008440714595832395	MenNorm4	0.1807653357515674	normal	0.5549765439644748	14
28	1	0.11391892755320279	0.08155749607013885	0.3669145810529598	MenOA4	0.11159993570817052	OA	0.5545354621158276	14
28	2	0.09628674612070526	0.027885500842668005	0.4029179539282546	MenNorm3	0.22448865962666864	normal	0.6647177857477135	14
28	3	0.09709507712588328	0.019784354208958063	0.4855211185000246	MenNorm1AVAS	0.25318820158086236	normal	0.8162066185475866	14
28	4	0.06719096328720395	0.009324708001957449	0.3365665286763162	MenNorm1VAS	0.32467265447169535	normal	0.8835433769680302	14
28	5	0.07792502470119206	0.04511938528774444	0.27151484974893975	MenNorm2	0.19256574407744378	normal	0.6320730456696488	14
28	6	0.05980386687831392	0.0015441934901479998	0.2962761946937965	MenOA1	0.2400189510649389	OA	0.7680289758384102	14
28	7	0.0514758126341383	0.022499208874379825	0.19897313511320666	MenNorm5	0.13292561492340696	normal	0.624269684997409	14
28	8	0.039322458998264795	0.0	0.24103939178914696	MenNorm5	0.3847967636539922	normal	0.8531072152060539	14
28	9	0.04166879437353069	0.0	0.19749972118356357	MenNorm7	0.4178357761391662	normal	0.8060535416134985	14
28	10	0.03693807263217227	0.0	0.22164612982581586	MenNorm6	0.3272992091002178	normal	0.5812682195445944	14
28	11	0.0449948895702356	0.0	0.25312903791689	MenOA5	0.4065032776595831	OA	0.7973130605559755	14
28	12	0.03553509253419042	0.0	0.1875354123530025	MenNorm3	0.12375298426747616	normal	0.529630292090539	14
28	13	0.029600048145648393	0.0	0.19143783737813175	MenNorm7	0.24018532570978637	normal	0.8395835004570917	14
