leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
3	80	ETS1	44.58861	2.5294843	0.0	0.0
3	81	PTMA	44.58727	1.050579	0.0	0.0
3	82	IL3RA	44.545296	6.8425355	0.0	0.0
3	83	S1PR1	44.464405	6.4506445	0.0	0.0
3	84	CRIP2	44.402546	1.9576521	0.0	0.0
3	85	PLAT	44.314457	4.5243745	0.0	0.0
3	86	MTRNR2L12	44.07901	2.0657084	0.0	0.0
3	87	RAB11A	43.800743	2.313931	0.0	0.0
3	88	ADGRF5	43.47012	4.620031	0.0	0.0
3	89	TMOD3	43.43912	2.262582	0.0	0.0
3	90	TPM4	43.36114	1.95738	0.0	0.0
3	91	LPAR6	43.14348	4.664073	0.0	0.0
3	92	ARL4A	43.08254	2.9605742	0.0	0.0
3	93	THBD	43.053455	3.0659406	0.0	0.0
3	94	KLF6	42.743813	2.0287356	0.0	0.0
3	95	CTSH	42.4387	3.933281	0.0	0.0
3	96	APP	42.41073	2.1506257	0.0	0.0
3	97	CLDN5	42.340385	4.904523	0.0	0.0
3	98	ACTN4	42.304665	2.298675	0.0	0.0
3	99	PALMD	42.14407	2.2821548	0.0	0.0
3	100	SLCO2A1	42.114937	6.9886413	7.45178268069349e-307	1.6183917112887952e-304
4	1	CFD	71.6081	4.875454	0.0	0.0
4	2	MGST1	56.337894	3.3957932	0.0	0.0
4	3	MTRNR2L1	53.30336	4.153045	0.0	0.0
4	4	PLA2G2A	47.804096	3.9795694	0.0	0.0
4	5	IFITM2	45.2127	1.9120001	0.0	0.0
4	6	PLIN2	42.636402	3.4900403	7.6800531276983e-311	2.2581719288703144e-307
4	7	MTRNR2L8	40.526134	2.470212	2.5610820735472155e-306	6.526320078617917e-303
4	8	DEPP1	38.289555	2.813232	7.038810285402101e-274	1.3452574217460495e-270
4	9	MT-ND1	36.33462	1.6238126	1.0334907184566521e-248	1.6460062175952946e-245
4	10	MT-ND4	36.273617	1.5319167	2.2448657007574307e-246	3.432309861830081e-243
4	11	NUPR1	36.23401	1.4941494	3.850851253863951e-253	6.399779927291116e-250
4	12	RARRES1	35.561718	4.0938387	7.710039748381666e-229	9.823618644738026e-226
4	13	IFITM3	34.26439	1.3574877	2.740850041680452e-228	3.379556515909471e-225
4	14	ADM	34.012436	2.096343	2.8148332851488216e-224	3.3623183591102676e-221
4	15	FGF7	33.15045	2.9615588	9.942107230703057e-209	1.0857917336754104e-205
4	16	ZFP36L2	32.457066	1.8144125	5.793311452255497e-208	6.151209359750392e-205
4	17	IGFBP4	32.37023	2.126256	3.31223076858322e-207	3.421802943197973e-204
4	18	MT-CO3	32.323845	1.4837414	1.1170650283703423e-201	1.0414315523031212e-198
4	19	C11orf96	32.30068	2.5164218	1.0519953452608232e-204	1.031063335314095e-201
4	20	MT-CYB	32.133938	1.5059956	3.746169783851904e-199	3.330083577161748e-196
4	21	MT-CO1	32.03358	1.4917898	2.001408260577152e-198	1.7386779398250237e-195
4	22	MT-ND3	31.860195	1.5112895	1.8153802776228772e-196	1.508502081127323e-193
4	23	GLRX	31.268175	1.9549137	9.43768012996864e-195	7.515539276831693e-192
4	24	CEBPD	31.147509	1.45763	6.154703681395169e-193	4.801171296278549e-190
4	25	MT-ND2	30.92129	1.3247448	4.463687036965116e-188	3.219244779263294e-185
4	26	MTRNR2L12	30.018047	1.5565472	2.3211954075187242e-180	1.5297478147757883e-177
4	27	MT-ATP6	29.885788	1.4119813	3.4773386773844096e-175	2.0768405250678386e-172
4	28	RPS4Y1	28.35371	1.6419612	4.563374908656765e-163	2.4567667958943125e-160
4	29	C1R	28.021885	1.5300246	1.4815740315104765e-159	7.865511913952285e-157
4	30	SFRP1	27.986034	2.6909409	3.9750592621325195e-157	2.053279259942614e-154
4	31	GYPC	27.054525	1.5677165	1.9829283910150916e-148	9.973086160284324e-146
4	32	RPLP0	26.91976	0.8291595	2.3514963050971104e-148	1.1673194125458694e-145
4	33	RPS2	26.912119	0.6948927	4.000744237603678e-148	1.9605698427969613e-145
4	34	H3F3B	26.596498	0.7851058	4.9644171787610046e-145	2.2065102586158214e-142
4	35	CEBPB	26.420341	1.384578	5.821060039002632e-143	2.5575195279406504e-140
4	36	GLUL	26.297598	1.707588	1.2759210583227779e-141	5.4798659026213325e-139
4	37	WISP2	26.1735	2.4406378	1.391919593375749e-139	5.600498372336276e-137
4	38	GDF15	25.634184	4.1165786	1.7299267656338854e-129	6.122659323110151e-127
4	39	GPX3	25.310003	1.4916077	1.0056784573496227e-130	3.5926218087599977e-128
4	40	SEPT11	24.941626	1.84289	9.411547812222621e-128	3.1836018015433405e-125
4	41	RPL39	24.711145	0.7965839	1.2616809883806505e-126	4.121922572637776e-124
